store_id,transaction_id,timestamp,basket_value_inr
ST1008,ML0426KAP0001358,2026-04-10T16:55:36+05:30,274.36
ST1008,ML0426KAP0001399,2026-04-10T19:21:55+05:30,99
ST1008,ML0426KAP0001353,2026-04-10T16:45:32+05:30,553.17
ST1008,ML0426KAP0001384,2026-04-10T18:41:51+05:30,1448.18
ST1008,ML0426KAP0001393,2026-04-10T19:02:09+05:30,466.67
ST1008,ML0426KAP0001333,2026-04-10T13:41:55+05:30,49.5
ST1008,ML0426KAP0001408,2026-04-10T19:54:02+05:30,198
ST1008,ML0426KAP0001324,2026-04-10T12:42:18+05:30,1
ST1008,ML0426KAP0001369,2026-04-10T17:55:02+05:30,215.67
ST1008,ML0426KAP0001321,2026-04-10T12:15:05+05:30,302.33
ST1008,ML0426KAP0001336,2026-04-10T13:55:16+05:30,0
ST1008,ML0426KAP0001418,2026-04-10T20:25:04+05:30,224.31
ST1008,ML0426KAP0001401,2026-04-10T19:33:52+05:30,249
ST1008,ML0426KAP0001337,2026-04-10T14:23:21+05:30,225
ST1008,ML0426KAP0001348,2026-04-10T16:08:03+05:30,799
ST1008,ML0426KAP0001403,2026-04-10T19:41:29+05:30,450
ST1008,ML0426KAP0001374,2026-04-10T18:07:14+05:30,495
ST1008,ML0426KAP0001347,2026-04-10T15:50:44+05:30,400
ST1008,ML0426KAP0001346,2026-04-10T15:46:39+05:30,599
ST1008,ML0426KAP0001340,2026-04-10T15:02:20+05:30,314.8
ST1008,ML0426KAP0001366,2026-04-10T17:44:44+05:30,299
ST1008,ML0426KAP0001438,2026-04-10T21:16:15+05:30,269.1
ST1008,ML0426KAP0001443,2026-04-10T21:39:55+05:30,427.5
ST1008,ML0426KAP0001372,2026-04-10T18:00:18+05:30,149
